,country,Number_of_Medals
120,USA,3853
95,Russia,2924
40,Germany,2600
4,Australia,1196
119,UK,983
20,China,910
55,Italy,877
37,France,857
47,Hungary,783
58,Japan,781
79,Netherlands,595
94,Romania,595
18,Canada,537
90,Poland,521
102,South Korea,483
98,Serbia,460
14,Brazil,447
103,Spain,429
107,Sweden,415
24,Cuba,394
15,Bulgaria,322
26,Czech Republic,309
36,Finland,308
27,Denmark,250
2,Argentina,220
80,New Zealand,210
84,Norway,200
122,Ukraine,183
57,Jamaica,154
108,Switzerland,146
23,Croatia,128
10,Belarus,116
85,Pakistan,107
61,Kenya,100
42,Greece,97
82,Nigeria,96
49,India,96
11,Belgium,88
72,Mexico,76
118,Turkey,70
101,South Africa,69
60,Kazakhstan,67
67,Lithuania,61
52,Iran,59
83,North Korea,56
34,Ethiopia,53
5,Austria,53
110,Taiwan,49
6,Azerbaijan,44
99,Slovakia,42
7,Bahamas,40
51,Indonesia,38
116,Trinidad,34
125,Uzbekistan,33
39,Georgia,32
113,Thailand,30
100,Slovenia,29
21,Colombia,27
33,Estonia,27
53,Ireland,27
74,Mongolia,25
91,Portugal,25
19,Chile,25
124,Uruguay,24
76,Morocco,23
130,Zimbabwe,22
17,Cameroon,18
87,Paraguay,17
65,Latvia,17
48,Iceland,17
70,Malaysia,16
1,Algeria,15
3,Armenia,15
126,Venezuela,15
88,Peru,14
75,Montenegro,14
35,Fiji,13
31,Egypt,12
117,Tunisia,12
89,Philippines,8
73,Moldova,8
92,Puerto Rico,8
54,Israel,7
121,Uganda,7
29,Dominican Republic,6
41,Ghana,6
93,Qatar,5
96,Saudi Arabia,5
50,Individual Olympic Athletes,5
22,Costa Rica,4
78,Namibia,4
111,Tajikistan,4
127,Vietnam,4
8,Bahrain,3
86,Panama,3
56,Ivory Coast,3
64,Kyrgyzstan,3
123,United Arab Emirates,2
16,Burundi,2
112,Tanzania,2
109,Syria,2
66,Lebanon,2
30,Ecuador,2
106,Suriname,2
0,Afghanistan,2
77,Mozambique,2
63,Kuwait,2
43,Grenada,2
9,Barbados,1
12,Bermuda,1
128,"Virgin Islands, US",1
129,Zambia,1
115,Tonga,1
13,Botswana,1
69,Macedonia,1
114,Togo,1
25,Cyprus,1
28,Djibouti,1
105,Sudan,1
104,Sri Lanka,1
32,Eritrea,1
97,Senegal,1
44,Guatemala,1
45,Guyana,1
46,Haiti,1
59,Jordan,1
62,Kosovo,1
81,Niger,1
68,Luxembourg,1
71,Mauritius,1
38,Gabon,1
